h2_ID,n_clusters,matched_cluster_IDs,logLHa,LHa_erg_s,logQH0_2.3pct,logQH0_15.9pct,logQH0_median,logQH0_84.1pct,logQH0_97.7pct,logQH0_1sigma_width,fesc_15.9pct,fesc_median,fesc_84.1pct,fesc_median_recomputed,log_clusterMass_median_Msun,passes_QH0_cut
751,2,3019;3021,37.4767,2.99702e+37,48.3874,48.9805,49.317,49.5262,49.6759,0.545784,-1.29168,-0.0559661,0.347816,-0.0559661,3.46659,0
800,1,3008,37.4061,2.54732e+37,47.8943,48.899,49.425,49.6694,49.8288,0.770406,-1.34941,0.300159,0.601386,0.300159,3.36087,0
877,5,2979;2980;2981;2982;2985,39.1955,1.56853e+39,50.4712,50.5879,50.6961,50.8035,50.9366,0.21569,-1.96183,-1.30823,-0.802478,-1.30823,4.57421,1
937,2,2953;2956,37.3132,2.05677e+37,47.9282,48.831,49.2746,49.4655,49.614,0.634477,-1.21881,0.201054,0.485194,0.201054,3.46729,0
997,2,2932;2935,37.4054,2.54359e+37,48.7675,49.2626,49.5144,49.6882,49.8155,0.425595,-0.0157948,0.431234,0.618749,0.431234,3.4983,1
1035,1,3615,37.4467,2.79682e+37,47.003,48.3194,49.1812,49.4088,49.5667,1.08941,-8.79817,-0.347169,0.202484,-0.347169,3.14462,0
1039,2,3591;3592,37.7773,5.98798e+37,46.4062,49.2532,49.6665,49.8675,50.0454,0.614346,-1.4435,0.0566783,0.406165,0.0566783,3.90936,0
1048,1,3581,37.8072,6.41568e+37,45.8756,49.6672,49.94,50.0921,50.2236,0.424911,-0.00909372,0.46155,0.620667,0.46155,3.46717,1
1055,1,3582,37.7432,5.5365e+37,42.8389,44.1735,45.4293,49.5992,49.87,5.42565,-271412,-15059.5,-0.0185542,-15059.5,3.49551,0
1065,1,3576,37.2282,1.69112e+37,43.561,44.5841,45.6892,47.4553,49.9042,2.87122,-32212.1,-2527.57,-42.332,-2527.57,3.71132,0
1081,1,2870,37.8386,6.89613e+37,44.8194,46.4118,48.7867,49.4148,49.6601,3.003,-1952.21,-7.23764,-0.939778,-7.23764,3.49356,0
1097,1,3548,37.3921,2.46655e+37,45.0302,45.6215,46.2502,46.7038,47.1191,1.08229,-4309.23,-1012.56,-355.621,-1012.56,3.16783,0
1103,1,3540,37.9593,9.10527e+37,44.4758,45.7934,47.292,49.9843,50.2131,4.1909,-10710.3,-338.793,0.30985,-338.793,3.67357,0
1114,1,3532,37.4263,2.66842e+37,48.2736,49.5939,49.7827,49.9226,50.0525,0.32869,0.503091,0.678274,0.766876,0.678274,3.24716,1
1129,3,2837;2839;2841,37.7991,6.29651e+37,48.8899,49.3173,49.5597,49.727,49.8562,0.409737,-1.21685,-0.268629,0.137021,-0.268629,3.74202,1
1136,2,3501;3512,38.1211,1.32154e+38,49.0586,49.7451,49.9935,50.1457,50.2721,0.400647,-0.737472,0.0194226,0.309331,0.0194226,3.74342,1
1160,1,3492,37.5793,3.7957e+37,46.6539,48.3903,49.2113,49.515,49.6892,1.12477,-10.2963,-0.705592,0.152449,-0.705592,3.3152,0
