h2_ID,h2_RA,h2_DEC,h2_rGalac_kpc,h2_LHa_erg_s,h2_logLHa,h2_size_pc,h2_class,sc_ID,sc_RA,sc_DEC,separation_arcsec,sc_age_yr,sc_mass_Msun,sc_EBV,sc_class
653,24.1556,15.746,7.19728,3.40765e+36,36.5325,165,4,3039,24.1558,15.7459,0.752181,2e+08,8441,0,2
707,24.1621,15.7474,6.57969,4.81217e+36,36.6823,125.431,3,3030,24.1626,15.7478,2.05299,2e+08,44290,0.39,1
707,24.1621,15.7474,6.57969,4.81217e+36,36.6823,125.431,3,3031,24.1627,15.7476,1.98036,1.2e+07,3611,0.5,4
729,24.1572,15.7479,6.78529,6.17375e+36,36.7905,140,3,3028,24.1573,15.748,0.452757,4e+07,3551,0.14,2
736,24.1582,15.7481,6.65339,1.1922e+37,37.0764,137,3,3020,24.1587,15.7487,2.60449,3e+07,4306,0.14,4
751,24.1593,15.7485,6.52506,2.99702e+37,37.4767,51.1549,2,3019,24.1592,15.7488,0.896471,1e+06,989.1,0.07,3
751,24.1593,15.7485,6.52506,2.99702e+37,37.4767,51.1549,2,3021,24.159,15.7486,1.03257,2e+06,898.5,0.05,3
800,24.1595,15.75,6.2616,2.54732e+37,37.4061,45.6116,2,3008,24.1595,15.7498,0.734407,3e+06,1741,0.2,4
812,24.1596,15.7505,6.14831,2.83827e+37,37.4531,61,2,3005,24.1596,15.7504,0.318068,1e+06,1337,0.12,2
825,24.1591,15.7509,6.14636,1.94712e+37,37.2894,115,1,3005,24.1596,15.7504,2.20125,1e+06,1337,0.12,2
844,24.1591,15.7513,6.04805,1.32677e+37,37.1228,76.6134,2,3000,24.1589,15.7515,0.802424,9e+06,10250,0.71,3
855,24.1587,15.7517,6.01657,1.4439e+37,37.1595,117.625,3,3000,24.1589,15.7515,1.10422,9e+06,10250,0.71,3
877,24.1569,15.7524,6.089,1.56853e+39,39.1955,46.947,2,2979,24.1568,15.7525,0.619127,1e+06,4919,0.24,3
877,24.1569,15.7524,6.089,1.56853e+39,39.1955,46.947,2,2980,24.1569,15.7522,0.879862,8e+06,7689,0.26,2
877,24.1569,15.7524,6.089,1.56853e+39,39.1955,46.947,2,2981,24.1568,15.7524,0.22813,2e+06,16690,0.04,2
877,24.1569,15.7524,6.089,1.56853e+39,39.1955,46.947,2,2982,24.1569,15.7523,0.50477,1e+06,8829,0.07,3
877,24.1569,15.7524,6.089,1.56853e+39,39.1955,46.947,2,2985,24.1571,15.7524,0.545983,1e+06,2264,0.17,4
889,24.1557,15.7527,6.09014,1.98488e+38,38.2977,65.891,3,2975,24.1554,15.7528,0.916599,2e+06,4559,0.13,3
937,24.1715,15.7549,5.1076,2.05677e+37,37.3132,61,2,2953,24.1715,15.7547,0.803071,9e+06,1201,0.14,4
937,24.1715,15.7549,5.1076,2.05677e+37,37.3132,61,2,2956,24.1714,15.7546,1.22135,1e+06,1292,0.08,3
958,24.1709,15.7555,4.74693,2.85639e+37,37.4558,68,3,2947,24.1709,15.7553,0.575787,1e+06,1145,0.1,3
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3605,24.1938,15.7585,4.27877,1e+06,10070,0.38,2
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3606,24.1938,15.7584,4.02355,1e+06,5911,0.45,3
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3608,24.1933,15.7584,5.28732,1e+06,4409,0.16,2
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3614,24.1947,15.7581,2.22245,1e+07,974.2,0.22,4
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3616,24.1939,15.7581,3.03911,7e+07,22550,0.35,3
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3618,24.1934,15.7581,4.47853,9e+06,3173,0.23,4
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3624,24.1946,15.7578,0.829327,1.2e+07,1514,0.06,2
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3634,24.194,15.7565,4.17115,2e+08,11570,0,4
989,24.1945,15.7575,5.44398,1.88336e+36,36.2749,300,4,3637,24.1942,15.7562,4.80874,9e+06,5553,0.44,4
997,24.1553,15.7571,5.52524,2.54359e+37,37.4054,55,1,2932,24.1555,15.7571,0.493825,1e+06,1323,0.11,3
